SURVEY_EAR,STATE_NAME,9-12_Dropout_Rate
2009-10,Alabama,1.799999237
2009-10,Arizona,7.799999237
2009-10,Arkansas,3.599998474
2009-10,California,4.599998474
2009-10,Colorado,5.299999237
2009-10,Connecticut,3
2009-10,Delaware,3.899999619
2009-10,District of Columbia,7
2009-10,Florida,2.299999237
2009-10,Georgia,3.799999237
2009-10,Idaho,1.399999619
2009-10,Illinois,2.899999619
2009-10,Indiana,1.599999428
2009-10,Iowa,3.399999619
2009-10,Kansas,2.099998474
2009-10,Kentucky,3.199998856
2009-10,Louisiana,4.799999237
2009-10,Maine,4.199996948
2009-10,Maryland,2.699998856
2009-10,Massachusetts,2.799999237
2009-10,Michigan,4.299999237
2009-10,Minnesota,1.599999428
2009-10,Mississippi,7.399997711
2009-10,Missouri,3.5
2009-10,Montana,4.299999237
2009-10,Nebraska,2.199998856
2009-10,Nevada,4.5
2009-10,New Hampshire,1.199999809
2009-10,New Jersey,1.599999428
2009-10,New Mexico,6.899997711
2009-10,New York,3.599998474
2009-10,North Carolina,4.699996948
2009-10,North Dakota,2.199998856
2009-10,Ohio,4.199996948
2009-10,Oklahoma,2.399999619
2009-10,Oregon,3.399999619
2009-10,Pennsylvania,2.099998474
2009-10,Rhode Island,4.599998474
2009-10,South Carolina,3
2009-10,South Dakota,2.599998474
2009-10,Tennessee,2.699998856
2009-10,Texas,2.699998856
2009-10,Utah,2.599998474
2009-10,Vermont,2.399999619
2009-10,Virginia,2.099998474
2009-10,Washington,4.199996948
2009-10,West Virginia,4
2009-10,Wisconsin,2.199998856
2009-10,Wyoming,6
