State,Human Population (2010),Eagle Population (2007)
California,"37,253,956",200
Texas,"25,145,561",156
New York,"19,378,102",110
Florida,"18,801,310",1133
Illinois,"12,830,632",100
Pennsylvania,"12,702,379",96
Ohio,"11,536,504",125
Georgia,"9,687,653",82
Michigan,"9,883,640",482
North Carolina,"9,535,483",60
New Jersey,"8,791,894",53
Virginia,"8,001,024",485
Washington,"6,724,540",848
Massachusetts,"6,547,629",25
Arizona,"6,392,017",43
Indiana,"6,483,802",68
Tennessee,"6,346,105",120
Missouri,"5,988,927",482
Maryland,"5,773,552",400
Wisconsin,"5,686,986",1065
Minnesota,"5,303,925",1312
Colorado,"5,029,196",42
Alabama,"4,779,736",77
South Carolina,"4,625,364",208
Louisiana,"4,533,372",284
Kentucky,"4,339,367",35
Oregon,"3,831,074",470
Oklahoma,"3,751,351",49
Connecticut,"3,574,097",10
Iowa,"3,046,355",200
Mississippi,"2,967,297",31
Arkansas,"2,915,918",42
Utah,"2,763,885",9
Kansas,"2,853,118",23
Nevada,"2,700,551",3
New Mexico,"2,059,179",4
Nebraska,"1,826,341",37
West Virginia,"1,852,994",19
Idaho,"1,567,582",216
Maine,"1,328,361",414
New Hampshire,"1,316,470",12
Rhode Island,"1,052,567",1
Montana,"989,415",325
Delaware,"897,934",39
South Dakota,"814,180",41
North Dakota,"672,591",15
Vermont,"625,741",1
Wyoming,"563,626",95
