Unnamed: 0,STATE,Obama_2012_Votes,Romney_2012_Votes,OR_Ratio,Latitude,Longitude
0,AL,"795,696","1,255,925",0.633553755,32.3182314,-86.902298
1,AZ,"1,025,232","1,233,654",0.831053115,34.0489281,-111.0937311
2,AR,"394,409","647,744",0.608896416,35.20105,-91.8318334
3,CA,"7,854,285","4,839,958",1.622800239,36.778261,-119.4179324
4,CO,"1,323,102","1,185,243",1.116312857,39.2508229,-106.2925238
5,CT,"905,083","634,892",1.425570018,41.6032207,-73.087749
6,DE,"242,584","165,484",1.465906069,38.9108325,-75.5276699
7,DC,"267,070","21,381",12.49099668,38.9072309,-77.0364641
8,FL,"4,237,756","4,163,447",1.017847951,27.6648274,-81.5157535
9,GA,"1,773,827","2,078,688",0.853339703,32.1656221,-82.9000751
10,ID,"212,787","420,911",0.505539176,44.0682019,-114.7420408
11,IL,"3,019,512","2,135,216",1.414148264,40.6331249,-89.3985283
12,IN,"1,152,887","1,420,543",0.811581909,40.2671941,-86.1349019
13,IA,"822,544","730,617",1.125821053,41.8780025,-93.097702
14,KS,"440,726","692,634",0.636304311,39.011902,-98.4842465
15,KY,"679,370","1,087,190",0.624886174,37.8393332,-84.2700179
16,LA,"809,141","1,152,262",0.702219634,31.3112936,-92.4451371
17,ME,"401,306","292,276",1.373037814,45.253783,-69.4454689
18,MD,"1,677,844","971,869",1.726409629,39.0457549,-76.6412712
19,MA,"1,921,290","1,188,314",1.616820133,42.4072107,-71.3824374
20,MI,"2,564,569","2,115,256",1.212415424,44.3148443,-85.6023643
21,MN,"1,546,167","1,320,225",1.17113901,46.729553,-94.6858998
22,MS,"562,949","710,746",0.792053701,32.3546679,-89.3985283
23,MO,"1,223,796","1,482,440",0.825528183,37.9642529,-91.8318334
24,MT,"201,839","267,928",0.753332985,46.8796822,-110.3625658
25,NE,"302,081","475,064",0.635874324,41.4925374,-99.9018131
26,NV,"531,373","463,567",1.146270118,38.8026097,-116.419389
27,NH,"369,561","329,918",1.120160161,43.1938516,-71.5723953
28,NJ,"2,125,101","1,477,568",1.438242436,40.0583238,-74.4056612
29,NM,"415,335","335,788",1.236896494,34.5199402,-105.8700901
30,NY,"4,485,741","2,490,431",1.801190637,43.1386807,-74.9682114
31,NC,"2,178,391","2,270,395",0.959476655,35.7595731,-79.0192997
32,ND,"124,827","188,163",0.663398224,47.5514926,-101.0020119
33,OH,"2,827,710","2,661,433",1.062476493,40.4172871,-82.907123
34,OK,"443,547","891,325",0.497626567,35.0077519,-97.092877
35,OR,"970,488","754,175",1.286820698,43.8041334,-120.5542012
36,PA,"2,990,274","2,680,434",1.115593221,41.2033216,-77.1945247
37,RI,"279,677","157,204",1.779070507,20.4089034,85.9375393
38,SC,"865,941","1,071,645",0.808048374,33.836081,-81.1637245
39,SD,"145,039","210,610",0.688661507,43.9695148,-99.9018131
40,TN,"960,709","1,462,330",0.656971409,35.5174913,-86.5804473
41,TX,"3,308,124","4,569,843",0.723903206,31.9685988,-99.9018131
42,UT,"251,813","740,600",0.340012152,39.3209801,-111.0937311
43,VT,"199,239","92,698",2.149334398,44.5588028,-72.5778415
44,VA,"1,971,820","1,822,522",1.081918353,37.4315734,-78.6568942
45,WA,"1,755,396","1,290,670",1.360065702,47.7510741,-120.7401386
46,WV,"238,269","417,655",0.570492392,38.5976262,-80.4549026
47,WI,"1,620,985","1,407,966",1.151295557,43.7844397,-88.7878678
48,WY,"69,286","170,962",0.405271347,43.0759678,-107.2902839
