,State,FY2011_StatePC_Spending,Latitude,Longitude
0,Alabama,4398,32.3182314,-86.902298
1,Arizona,4399,34.0489281,-111.0937311
2,Arkansas,7025,35.20105,-91.8318334
3,California,5791,36.778261,-119.4179324
4,Colorado,6148,39.5500507,-105.7820674
5,Connecticut,7259,41.6032207,-73.087749
6,Delaware,9368,38.9108325,-75.52766989999999
7,Florida,3482,27.6648274,-81.5157535
8,Georgia,4176,32.1656221,-82.9000751
9,Idaho,4212,44.0682019,-114.7420408
10,Illinois,3827,40.6331249,-89.3985283
11,Indiana,4070,40.2671941,-86.1349019
12,Iowa,5925,41.8780025,-93.097702
13,Kansas,5147,39.011902,-98.4842465
14,Kentucky,5861,37.8393332,-84.2700179
15,Louisiana,6882,30.9842977,-91.96233269999999
16,Maine,6229,45.253783,-69.4454689
17,Maryland,5863,39.0457549,-76.64127119999999
18,Massachusetts,8141,42.4072107,-71.3824374
19,Michigan,4915,44.3148443,-85.60236429999999
20,Minnesota,5920,46.729553,-94.6858998
21,Mississippi,7490,32.3546679,-89.3985283
22,Missouri,3858,37.9642529,-91.8318334
23,Montana,6230,46.8796822,-110.3625658
24,Nebraska,5370,41.4925374,-99.9018131
25,Nevada,3150,38.8026097,-116.419389
26,New Hampshire,4056,43.1938516,-71.5723953
27,New Jersey,5362,40.0583238,-74.4056612
28,New Mexico,7494,34.5199402,-105.8700901
29,New York,6851,43.13868069999999,-74.9682114
30,North Carolina,5362,35.7595731,-79.01929969999999
31,North Dakota,7461,47.5514926,-101.0020119
32,Ohio,5227,40.4172871,-82.90712300000001
33,Oklahoma,5688,35.4675602,-97.5164276
34,Oregon,8729,43.8041334,-120.5542012
35,Pennsylvania,5442,41.2033216,-77.1945247
36,Rhode Island,7450,41.5800945,-71.4774291
37,South Carolina,4797,33.836081,-81.1637245
38,South Dakota,4676,43.9695148,-99.9018131
39,Tennessee,4743,35.5174913,-86.5804473
40,Texas,3796,31.9685988,-99.9018131
41,Utah,4591,39.3209801,-111.0937311
42,Vermont,7767,44.5588028,-72.57784149999999
43,Virginia,5291,37.4315734,-78.6568942
44,Washington,5000,47.6759636,-120.20841
45,West Virginia,11440,38.5976262,-80.4549026
46,Wisconsin,7534,43.7844397,-88.7878678
47,Wyoming,10874,43.0759678,-107.2902839
