,State,Human Population (2010),Eagle Population (2007),Latitude,Longitude
0,California,"37,253,956",200,36.778261,-119.4179324
1,Texas,"25,145,561",156,31.9685988,-99.9018131
2,New York,"19,378,102",110,43.13868069999999,-74.9682114
3,Florida,"18,801,310",1133,27.6648274,-81.5157535
4,Illinois,"12,830,632",100,40.6331249,-89.3985283
5,Pennsylvania,"12,702,379",96,41.2033216,-77.1945247
6,Ohio,"11,536,504",125,40.4172871,-82.90712300000001
7,Georgia,"9,687,653",82,32.1656221,-82.9000751
8,Michigan,"9,883,640",482,44.3148443,-85.60236429999999
9,North Carolina,"9,535,483",60,35.7595731,-79.01929969999999
10,New Jersey,"8,791,894",53,40.0583238,-74.4056612
11,Virginia,"8,001,024",485,37.4315734,-78.6568942
12,Washington,"6,724,540",848,47.6759636,-120.20841
13,Massachusetts,"6,547,629",25,42.4072107,-71.3824374
14,Arizona,"6,392,017",43,34.0489281,-111.0937311
15,Indiana,"6,483,802",68,40.2671941,-86.1349019
16,Tennessee,"6,346,105",120,35.5174913,-86.5804473
17,Missouri,"5,988,927",482,37.9642529,-91.8318334
18,Maryland,"5,773,552",400,39.0457549,-76.64127119999999
19,Wisconsin,"5,686,986",1065,43.7844397,-88.7878678
20,Minnesota,"5,303,925",1312,46.729553,-94.6858998
21,Colorado,"5,029,196",42,39.5500507,-105.7820674
22,Alabama,"4,779,736",77,32.3182314,-86.902298
23,South Carolina,"4,625,364",208,33.836081,-81.1637245
24,Louisiana,"4,533,372",284,30.9842977,-91.96233269999999
25,Kentucky,"4,339,367",35,37.8393332,-84.2700179
26,Oregon,"3,831,074",470,43.8041334,-120.5542012
27,Oklahoma,"3,751,351",49,35.4675602,-97.5164276
28,Connecticut,"3,574,097",10,41.6032207,-73.087749
29,Iowa,"3,046,355",200,41.8780025,-93.097702
30,Mississippi,"2,967,297",31,32.3546679,-89.3985283
31,Arkansas,"2,915,918",42,35.20105,-91.8318334
32,Utah,"2,763,885",9,39.3209801,-111.0937311
33,Kansas,"2,853,118",23,39.011902,-98.4842465
34,Nevada,"2,700,551",3,38.8026097,-116.419389
35,New Mexico,"2,059,179",4,34.5199402,-105.8700901
36,Nebraska,"1,826,341",37,41.4925374,-99.9018131
37,West Virginia,"1,852,994",19,38.5976262,-80.4549026
38,Idaho,"1,567,582",216,44.0682019,-114.7420408
39,Maine,"1,328,361",414,45.253783,-69.4454689
40,New Hampshire,"1,316,470",12,43.1938516,-71.5723953
41,Rhode Island,"1,052,567",1,41.5800945,-71.4774291
42,Montana,"989,415",325,46.8796822,-110.3625658
43,Delaware,"897,934",39,38.9108325,-75.52766989999999
44,South Dakota,"814,180",41,43.9695148,-99.9018131
45,North Dakota,"672,591",15,47.5514926,-101.0020119
46,Vermont,"625,741",1,44.5588028,-72.57784149999999
47,Wyoming,"563,626",95,43.0759678,-107.2902839
